game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed
alien,10000,10,182.0,67f55a3aa940f08ae0dc9220ec40fda84b60bbbd3d3b0fefb9a5ae1bf1a478f6,0,0
alien,20000,10,134.0,4d38538fb3065bf53fdf7377d09bf56bf418864d31dca70dc2a1a0b68ce34943,0,0
alien,30000,10,302.0,c734edd658011f26ab5b1bf0f50003d4d321874149344e9ea9a5820e787db880,0,0
alien,40000,10,278.0,b1c990b88c5a13d51065aeb742aec40b656a8c49f8052838db1c9992e41b7d40,0,0
alien,50000,10,433.0,edf640c63ad246dacb0e0ba2ddde88ea7433cc259d6fc0e424b58e65a9dd83fc,0,0
alien,60000,10,397.0,002631ca9f781c827535642b0c592a35b58d5c01ecb35199b57310973a37c856,0,0
alien,70000,10,297.0,97eaa0e6bb84327cb57308a293bf9d6fc11aec166e6e89ed44ffd3df7cb8c4cc,0,0
alien,80000,10,449.0,c7fd7a98cc515e4e35d13cb1cb66dff90f7fd5a466faf36a3297bf30b3a098b8,0,0
alien,90000,10,550.0,f66ff63e92a270998bff05263b5bcee40b4b3d0182609e4db7612562396bad48,0,0
alien,100000,100,637.8,9880c2a8fc42308d70193c21f9c294c0923556ecea588b639332ee1678163d51,0,0
amidar,10000,10,10.2,4c70ca24aa3d400ca0f361a3b035515fcf32688d5a247fc26e03a220883c0c17,0,0
amidar,20000,10,13.4,d6da555190cd10d64bf4b7e8f5cf68501dd92ad99e296df1aedb7641be5a932b,0,0
amidar,30000,10,72.4,87f0fbf082ae5908ac1a0e901105456f46248e288b130406293d2804bd918e30,0,0
amidar,40000,10,65.4,b7e8ae4d9593bb06039e32f8adfd155715897287cd6b8165014bcdefaa068975,0,0
amidar,50000,10,50.4,6bbb896aa783ca777daf299191a39bc3afe4bb4792198fd55d9978396c822e85,0,0
amidar,60000,10,69.4,85163b7c4af16b70adf22708fa5e56dc579b80cecd75ec2950046be8155203fb,0,0
amidar,70000,10,76.0,4afcf5c0a06146498dbda1ea8421dd7cb6e0502e9f8db295463247817cd7d838,0,0
amidar,80000,10,83.1,d8353630cd3d74bc5e8bf01a6f4426ee0d2b0f9f502ddf6b7c0cbe35952a1e0b,0,0
